#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      pmma.mat            
#  Mass density= 1.190000E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   3.50000E+04  2.60848E-01  6.19861E-02  2.37633E-01  2.37658E-01  9.99893E-01  8.2E-02  1.0001E+01
   3.55000E+04  2.57760E-01  5.96642E-02  2.31472E-01  2.31493E-01  9.99907E-01  8.3E-02  1.0001E+01
   3.60000E+04  2.54835E-01  5.77792E-02  2.26731E-01  2.26756E-01  9.99893E-01  8.4E-02  1.0001E+01
   3.65000E+04  2.52051E-01  5.58055E-02  2.21405E-01  2.21428E-01  9.99899E-01  8.6E-02  1.0001E+01
   3.70000E+04  2.49377E-01  5.39865E-02  2.16485E-01  2.16509E-01  9.99889E-01  8.4E-02  1.0001E+01
   3.75000E+04  2.46836E-01  5.22340E-02  2.11614E-01  2.11638E-01  9.99886E-01  8.5E-02  1.0001E+01
   3.80000E+04  2.44421E-01  5.05780E-02  2.06930E-01  2.06954E-01  9.99886E-01  8.5E-02  1.0001E+01
   3.85000E+04  2.42122E-01  4.91131E-02  2.02845E-01  2.02866E-01  9.99896E-01  8.6E-02  1.0001E+01
   3.90000E+04  2.39933E-01  4.77145E-02  1.98866E-01  1.98886E-01  9.99899E-01  8.7E-02  1.0001E+01
   3.95000E+04  2.37846E-01  4.64380E-02  1.95244E-01  1.95268E-01  9.99878E-01  8.7E-02  1.0001E+01
   4.00000E+04  2.35820E-01  4.51195E-02  1.91330E-01  1.91350E-01  9.99894E-01  8.4E-02  1.0001E+01
   4.05000E+04  2.33874E-01  4.38871E-02  1.87653E-01  1.87676E-01  9.99876E-01  8.5E-02  1.0001E+01
   4.10000E+04  2.32014E-01  4.27807E-02  1.84389E-01  1.84409E-01  9.99893E-01  8.4E-02  1.0001E+01
   4.15000E+04  2.30234E-01  4.16960E-02  1.81103E-01  1.81122E-01  9.99890E-01  8.4E-02  1.0001E+01
   4.20000E+04  2.28530E-01  4.07531E-02  1.78327E-01  1.78347E-01  9.99885E-01  8.5E-02  1.0001E+01
   4.25000E+04  2.26895E-01  3.97404E-02  1.75149E-01  1.75170E-01  9.99879E-01  8.5E-02  1.0001E+01
   4.30000E+04  2.25328E-01  3.88094E-02  1.72235E-01  1.72258E-01  9.99871E-01  8.5E-02  1.0001E+01
   4.35000E+04  2.23794E-01  3.80019E-02  1.69807E-01  1.69826E-01  9.99888E-01  8.4E-02  1.0001E+01
   4.40000E+04  2.22318E-01  3.71921E-02  1.67293E-01  1.67311E-01  9.99890E-01  8.4E-02  1.0001E+01
   4.45000E+04  2.20900E-01  3.64371E-02  1.64948E-01  1.64968E-01  9.99881E-01  8.4E-02  1.0001E+01
   4.50000E+04  2.19537E-01  3.56576E-02  1.62422E-01  1.62439E-01  9.99891E-01  8.4E-02  1.0001E+01
   4.55000E+04  2.18225E-01  3.50332E-02  1.60537E-01  1.60556E-01  9.99885E-01  8.5E-02  1.0001E+01
   4.60000E+04  2.16962E-01  3.43419E-02  1.58285E-01  1.58305E-01  9.99879E-01  8.3E-02  1.0001E+01
   4.65000E+04  2.15746E-01  3.37514E-02  1.56440E-01  1.56457E-01  9.99891E-01  8.0E-02  1.0001E+01
   4.70000E+04  2.14566E-01  3.31759E-02  1.54618E-01  1.54633E-01  9.99904E-01  7.9E-02  1.0001E+01
   4.75000E+04  2.13407E-01  3.25959E-02  1.52741E-01  1.52759E-01  9.99883E-01  7.9E-02  1.0001E+01
   4.80000E+04  2.12288E-01  3.20569E-02  1.51007E-01  1.51023E-01  9.99889E-01  7.9E-02  1.0001E+01
   4.85000E+04  2.11208E-01  3.15686E-02  1.49467E-01  1.49483E-01  9.99893E-01  7.8E-02  1.0001E+01
   4.90000E+04  2.10163E-01  3.10867E-02  1.47917E-01  1.47932E-01  9.99898E-01  7.8E-02  1.0001E+01
   4.95000E+04  2.09152E-01  3.06432E-02  1.46512E-01  1.46528E-01  9.99894E-01  7.7E-02  1.0001E+01
